Date,Open,High,Low,Close,Volume,Label,News
2010-01-04,223.49,221.67,223.49,221.66,85970000,1,0.700996678
2010-01-05,222.84,224.24,224.4,222.18,153200000,1,0.718543046
2010-01-06,224.67,223.83,224.96,223.52,170500000,0,0.892857143
2010-01-07,221.31,224.23,224.77,221.31,183400000,0,0.897959184
2010-01-08,222.66,222.65,222.81,219.15,157200000,1,0.766066838
2010-01-11,222.23,223.31,224.18,222.23,155300000,0,0.819787986
2010-01-12,223.04,222.5,223.39,220.86,121200000,0,0.832764505
2010-01-13,219.17,220.82,221.46,219.01,116000000,1,0.748344371
2010-01-14,221.19,220.39,222.24,219.88,134000000,1,0.697986577
2010-01-15,223.21,222.33,223.69,221.12,156900000,1,0.67061144
2010-01-18,224.38,222.26,225.19,221.21,156000000,1,0.57605178
2010-01-19,224.13,225.44,226.1,223.55,129300000,1,0.625396825
2010-01-20,224.83,225.87,225.97,223.88,171700000,0,0.634502924
2010-01-21,226.16,223.03,226.16,222.41,127200000,0,0.572413793
2010-01-22,220.68,222.59,223.9,218.22,154700000,0,0.685779817
2010-01-25,219.33,217.72,220.65,217.37,125900000,0,0.657627119
2010-01-26,214.89,219.09,219.41,213.52,130200000,0,0.467741935
2010-01-27,213.02,215.38,215.63,212.51,119900000,1,0.405940594
2010-01-28,215.67,213.94,216.65,212.53,115800000,0,0.406779661
2010-01-29,210.34,212.77,213.63,209.4,113800000,0,0.571134021
2010-02-01,210.76,210.53,211.68,208.77,104300000,0,0.591362126
2010-02-02,209.27,212.36,212.36,208.55,116300000,1,0.632352941
2010-02-03,211.86,211.76,212.45,209.99,92500000,1,0.570093458
2010-02-04,211.72,211.82,212.44,210.71,89400000,0,0.467966574
2010-02-05,205.06,205.48,206.39,204.31,105300000,0,0.642066421
2010-02-08,203.37,204.6,204.87,202.69,85500000,1,0.693811075
2010-02-09,206.01,203.17,206.25,202.93,100200000,1,0.5
2010-02-10,205.94,206.98,207.41,205.23,91800000,1,0.418674699
2010-02-11,209.73,206.55,210.17,206.45,98600000,1,0.510416667
2010-02-12,208.74,209.35,209.59,206.56,87200000,1,0.472118959
2010-02-16,209.73,208.21,210.84,207.77,72200000,1,0.689393939
2010-02-17,213.44,212.24,213.56,212.09,96300000,1,0.815884477
2010-02-18,212.55,213.81,213.98,212.11,79500000,0,0.663194444
2010-02-19,208.7,211.12,212.85,208.56,81600000,1,0.494845361
2010-02-22,213.28,211.92,213.97,211.92,79100000,0,0.462897527
2010-02-23,213.45,213.29,213.68,211.61,78000000,0,0.498168498
2010-02-24,210.92,211.69,211.93,210.11,82800000,0,0.53909465
2010-02-25,207.56,211.86,212.16,206.85,78800000,0,0.630769231
2010-02-26,208.36,208.53,208.86,206.69,62000000,1,0.673312883
2010-03-02,211.44,210.99,212.15,210.58,89600000,1,0.632258065
2010-03-03,212.36,211.42,212.4,210.81,69100000,1,0.515151515
2010-03-04,211.91,212.75,213.66,211.12,71000000,1,0.614649682
2010-03-05,214.05,212.87,214.09,212.79,75100000,1,0.631355932
2010-03-08,217.73,216.79,217.87,216.31,110500000,1,0.80859375
2010-03-09,217.82,217.4,217.89,216.74,88500000,0,0.808510638
2010-03-10,217.82,217.9,218.07,216.63,96000000,1,0.547038328
2010-03-11,216.76,218.98,219.29,216.65,144900000,0,0.710037175
2010-03-12,217.35,218.11,218.17,216.14,92600000,0,0.919315403
2010-03-15,215.49,217.53,218.15,214.63,83200000,0,0.79296875
2010-03-16,215.25,216.15,216.26,214.5,129400000,1,0.96214511
2010-03-17,220.28,217.39,220.28,216.83,117900000,1,1.03515625
2010-03-18,219.02,219.69,220.88,219.02,109200000,1,0.728522337
2010-03-19,220.48,220.05,220.77,219.32,104800000,0,0.70754717
2010-03-22,218.52,219.31,219.73,217.35,99500000,1,0.657142857
2010-03-23,220.09,220.27,220.95,219.44,94700000,1,0.639344262
2010-03-24,220.09,221.71,222.03,219.73,95300000,0,0.635338346
2010-03-25,221.07,220.11,221.13,219.58,147400000,1,0.615658363
2010-03-26,222.25,220.35,222.63,219.83,96400000,1,0.504761905
